;titre;tag_1;Tag;;
667;salade de pommes de terre et de haddock;plat principal;poisson;;
668;purée de pommes de terre et de panais;plat principal;legume;;
670;gratin de betteraves et de pommes de terre;plat principal;legume;;
671;beignets de fleurs de courgettes et de courges;entrée;legume;;
673;gratin de ravioles de romans de virge;plat principal;Legume;;
674;dés de poulet moelleux aux endives, champignons et lardons;plat principal;viande;;
676;gratin de purées de carotte et pomme de terre;plat principal;legume;;
677;filet de colin sous son lit de carottes de ma maman;plat principal;poisson;;
678;paella de marisco (paella de fruits de mer);plat principal;poisson;;
679;barres de céréales aux chocolune grillon d’or;dessert;chocolat;;
680;gratin de fruits de mer de mamie zoizo;plat principal;poisson;;
681;papillotes de blanc de poulet et de lard fumé;plat principal;viande;;
682;gâteau de pommes de terre au confit de canard;plat principal;viande;;
683;mousse de thon de maman;entrée;poisson;;
684;sauté de nouilles aux crevettes en 25 minutes;plat principal;poisson;;
685;velouté de potiron et de topinambours;entrée;legume;;
686;confiture de clémentines de corse;confiserie;bonbon;;
687;beignets de carnaval de micheline;dessert;;;
688;magret de canard de la garigue;plat principal;viande;;
690;beignets de fleurs de sureau;dessert;autre;;
691;velouté de choux de bruxelles;entrée;legume;;
692;compote de pommes de juliet;dessert;bonbon;;
693;beignets de bananes et de pommes;dessert;Fruit;;
694;cookie cup glace vanille et pépites de chocolat;dessert;chocolat;;
696;gâteau de pommes de terre;plat principal;legume;;
697;confiture de fraises de danièle;confiserie;bonbon;;
700;salade de tomates et de mozzarella;entrée;Legume;;
701;velouté de fanes de carottes;entrée;legume;;
702;velouté de fanes de radis;entrée;legume;;
703;velouté de panais et de courgettes;entrée;legume;;
704;barre chocolat-noix de coco maison par laurent mariotte;dessert;chocolat;;
706;gelée de groseille et de cassis;confiserie;bonbon;;
707;galettes de pommes de terre;plat principal;legume;;
708;pâtes de fruits de coings;confiserie;bonbon;;
709;gratin express de chou-fleur à la mimolette;plat principal;legume;;
710;confiture de potiron et de pommes;confiserie;bonbon;;
712;galettes de pomme de terre;plat principal;legume;;
713;pâté de pommes de terre;plat principal;legume;;
714;galette des rois salée, jambon, épinards, fromage de chèvre;plat principal;viande;;
715;crépée de pomme de terre;entrée;legume;;
717;feuilleté de foies de volaille;entrée;viande;;
718;parmentier de confit de canard;plat principal;viande;;
719;cobbler aux poires, crème de cassis par laurent mariotte;plat principal;legume;;
721;blanquette de veau de ma mamie;plat principal;viande;;
722;croustilles de cuisses de grenouilles;entrée;poisson;;
723;confiture de bourgeons de sapin;confiserie;bonbon;;
724;tartines au beurre de cacahuètes skippy®️, fraises et pistaches;dessert;autres;;
725;sauté de veau de lisbonne;plat principal;viande;;
727;travers de porc de nonobabar;plat principal;viande;;
728;soupe de champignons de paris;entrée;legume;;
729;fricassée de pintade aux morilles & pommes et terre façon salardaise;plat principal;legume;;
730;jardinière de légumes de printemps;plat principal;legume;;
731;mousse de noix de coco;dessert;Fruit;;
733;gelée de pétales de roses;confiserie;Bonbon;;
734;aile de raie pochée, sauce aux herbes par laurent mariotte;plat principal;poisson;;
736;terrine de porc et de poulet;entrée;viande;;
737;brochette de boulettes de poulet;plat principal;viande;;
738;gratin de pâtes de fabien;plat principal;pates;;
739;la côte de bœuf au four facile et cuite à la perfection;plat principal;viande;;
741;paté de foie de volaille;entrée;viande;;
742;râpé de pommes de terre;plat principal;legume;;
743;crème de betterave et de feta;entrée;legume;;
744;bricks aux pommes de terre, carottes et aux petits pois;entrée;legume;;
746;brochette de boulette de boeuf;plat principal;viande;;
748;soupe de surimis et de crevettes;plat principal;Poisson;;
749;enchiladas épicés de poulet sauce tikka masala epicée patak's;plat principal;viande;;
750;papillotes de côtes de porc;plat principal;viande;;
751;tajine de poisson de zohra;plat principal;poisson;;
752;bruschetta de brandade de morue;entrée;poisson;;
753;daube de boeuf de sophie;plat principal;viande;;
754;quiche d’automne aux légumes, lait de coco et bouchées grillées;plat principal;legume;;
755;galettes de flocons de céréales;entrée;legume;;
757;blanquette de veau (de marielle);plat principal;viande;;
759;tour de pain d'épices, mousse à l'orange et nappage au nutella®;dessert;Epice;;
760;moules (de bouchot) de marielle;plat principal;poisson;;
761;pâté de tête de nadette;entrée;viande;;
762;blanquette de veau de la baronne;plat principal;viande;;
763;gratin de kiwis et de poires;dessert;fruit;;
764;parfait glacé à la pistache, sablé croquant et coulis de mangue;dessert;fruit;;
765;gelée de baies de sureau;confiserie;bonbon;;
766;compote de pommes de ma grand'mère;dessert;bonbon;;
767;mijotée de jarret de porc;plat principal;Viande;;
768;beignets de carnaval de mamina;dessert;Autres;;
769;curry de poulet au chou-fleur sauce butter chicken patak's;plat principal;viande;;
770;gratin de fruits de mer;plat principal;poisson;;
771;velouté de cocos de paimpol;entrée;legume;;
772;gâteau de crêpes de la mer;entrée;poisson;;
773;perles de coco de saho;dessert;fruit;;
